USC00091474        3291R
USC00091500        1982R
USC00091640        3337S
USC00091665        3046R
USC00091732        3417S
USC00091863        3436R
USC00091908        3560Q
USC00091965        3916Q
USC00091973        2001R
USC00091982        4062S
USC00092006        4098Q
USC00092153        1672R
USC00092159        2354R
USC00092180        3298S
USC00092266        2339S
USC00092283        3603S
USC00092318        2929R
USC00092361        2151Q
USC00092408        3571Q
USC00092450        2417S
USC00092475        3933R
USC00092485        3318C
USC00092493        3321R
USC00092517        3193R
USC00092738        1688Q
USC00092783        1981R
USC00092839        2377S
USC00092966        2247S
USC00093060        3686C
USC00093271        2801R
USC00093325        1540R
USC00093386        2039R
USC00093465        1291S
USC00093506        2934R
USC00093538        1521S
USC00093578        2145Q
USC00093621        3283S
USC00093658        2184Q
USC00093754        1918R
USC00093915        2609R
USC00094133        3140S
USC00094138        3037Q
USC00094170        2405R
USC00094204        1936R
USC00094230        3952R
USC00094429        1961R
USC00094594        2225R
USC00094648        3585S
USC00094674        1582R
USC00094676        2097R
USC00094700        3063R
USC00094862        2524Q
USC00094941        3681R
USC00094949        2698R
USC00095061        2143Q
USC00095165        3034Q
USC00095314        2444S
USC00095394        2353R
USC00095401        2092Q
USC00095404        3177Q
USC00095550        2135R
USC00095666        3007R
USC00095811        1897R
USC00095863        2299R
USC00095874        2598S
USC00095882        2466R
USC00095988        3040S
USC00096087        1697R
USC00096093        4714Q
USC00096148        2399R
USC00096219        1902R
USC00096244        1735R
USC00096335        3001R
USC00096838        1895Q
USC00097087        2484S
USC00097171        2043R
USC00097276        1850S
USC00097528        2367Q
USC00097600        3050S
USC00097777        2521S
USC00097808        1559R
USC00097827        4522R
USC00098064        2864S
USC00098436        3468Q
USC00098476        2178R
USC00098496        1984R
USC00098535        2798R
USC00098661        2613S
USC00098666        1564Q
USC00098703        2016R
USC00098740        3224R
USC00098950        3069S
USC00098974        1656Q
USC00099027        2276Q
USC00099124        2378R
USC00099141        2840S
USC00099157        2939S
USC00099186        1935S
USC00099194        2435R
USC00099291        2880S
USC00099466        3085R
USC00099486        3222R
USC00099502        1777R
USC00100010        7678S
USC00100227        7158R
USC00100282        6503Q
USC00100347        7555R
USC00100375        8009R
USC00100448        6172S
USC00100470        8432R
USC00100528        7027Q
USC00100667        7195R
USC00100803        8768R
USC00100915        7145R
USC00101017        6181S
USC00101018        5431Q
USC00101079        6833S
USC00101180        4952R
USC00101195        4831S
USC00101220        6347S
USC00101363        7133S
USC00101380        5404R
USC00101408        6643S
USC00101514        8846R
USC00101551        6150S
USC00101663        7466R
USC00101671        9074S
USC00101831        8089Q
USC00101956        6428R
USC00102159        6944S
USC00102187        6607Q
USC00102246        7675R
USC00102260        8308R
USC00102390        9684R
USC00102444        5232R
USC00102575       10470R
USC00102577       10388Q
USC00102676        9116S
USC00102707        8307S
USC00102845        5497S
USC00102875        8509S
USC00102892        7789R
USC00102942        5830S
USC00103108        8734R
USC00103110        9361R
USC00103143        6288R
USC00103297        7640S
USC00103448        6843S
USC00103554        8503R
USC00103558        8490Q
USC00103631        5567R
USC00103732        8178S
USC00103760        5480S
USC00103771        6779S
USC00103882        9391R
USC00103932        5806R
USC00103940        8121Q
USC00103964        8129R
USC00104140        6610S
USC00104150        8012R
USC00104268        8818R
USC00104295        6438Q
USC00104318        5898Q
USC00104384        7996R
USC00104442        7891S
USC00104455        7335S
USC00104456        8401S
USC00104598        9572R
USC00104670        6335R
USC00104793        5786Q
USC00104831        6917S
USC00104845        9003R
USC00105013        6375R
USC00105015        6029Q
USC00105038        5577R
USC00105143        7491Q
USC00105177        9558R
USC00105275        8655S
USC00105414        8100R
