"","station","htdd","hdd","qual","lat","long"
"5099","USC00480951","10584R",10584,"R",42.7158,-109.6903
"5100","USC00481000","7611R",7611,"R",43.4053,-108.1633
"5101","USC00481165","7619S",7619,"S",44.3547,-106.6992
"5102","USC00481175","6555R",6555,"R",44.5075,-109.1675
"5103","USC00481220","11268R",11268,"R",44.7742,-107.5217
"5104","USC00481284","8233R",8233,"R",43.3656,-109.2756
"5105","USC00481547","7075R",7075,"R",41.0844,-104.3789
"5106","USC00481610","9108R",9108,"R",41.3136,-106.1292
"5107","USC00481730","7075R",7075,"R",41.7594,-104.8222
"5108","USC00481736","8462R",8462,"R",41.3975,-110.0856
"5109","USC00481775","7859R",7859,"R",44.9367,-109.1375
"5110","USC00481816","7921S",7921,"S",44.5781,-106.4472
"5111","USC00481840","7067S",7067,"S",44.5147,-109.045
"5112","USC00481850","7454R",7454,"R",44.4139,-108.9006
"5113","USC00481855","7413R",7413,"R",44.3367,-109.3914
"5114","USC00481905","7286S",7286,"S",44.8711,-104.1533
"5115","USC00482054","10750R",10750,"R",42.9589,-109.9958
"5116","USC00482242","11324R",11324,"R",42.9281,-110.1272
"5117","USC00482375","12407S",12407,"S",43.4136,-110.1631
"5118","USC00482410","7833R",7833,"R",44.1833,-105.9
"5119","USC00482415","7898R",7898,"R",44.8919,-108.5931
"5120","USC00482466","8091S",8091,"S",44.5833,-104.7147
"5121","USC00482580","7743S",7743,"S",44.0992,-105.1175
"5122","USC00482595","8029R",8029,"R",43.2281,-108.9489
"5123","USC00482680","7984R",7984,"R",42.1794,-105.4017
"5124","USC00482685","7517R",7517,"R",42.7467,-105.3603
"5125","USC00482715","8975R",8975,"R",43.5397,-109.6553
"5126","USC00482725","7017S",7017,"S",43.4117,-104.9614
"5127","USC00482881","7569R",7569,"R",44.4828,-105.8992
"5128","USC00482995","8307R",8307,"R",41.6878,-106.4136
"5129","USC00483031","7818S",7818,"S",44.4972,-108.3906
"5130","USC00483045","8406R",8406,"R",41.1833,-106.6167
"5131","USC00483100","8572R",8572,"R",41.265,-110.9508
"5132","USC00483396","9609R",9609,"R",41.8183,-110.0564
"5133","USC00483582","9565R",9565,"R",41.8367,-110.7703
"5134","USC00483855","7375S",7375,"S",44.2644,-105.4919
"5135","USC00483950","6899R",6899,"R",42.8267,-105.7878
"5136","USC00484065","7683R",7683,"R",41.5167,-109.4703
"5137","USC00484080","7867R",7867,"R",44.4908,-108.0411
"5138","USC00484411","7397R",7397,"R",44.7053,-108.9558
"5139","USC00484442","7510R",7510,"R",41.15,-105.1667
"5140","USC00484760","7747R",7747,"R",44.6856,-104.6028
"5141","USC00484910","9372S",9372,"S",43.4836,-110.7594
"5142","USC00484925","8539R",8539,"R",42.4942,-107.8292
"5143","USC00485055","7559S",7559,"S",43.7144,-106.6375
"5144","USC00485088","7512R",7512,"R",42.5156,-104.8719
"5145","USC00485105","10157R",10157,"R",41.8167,-110.5333
"5146","USC00485252","9620R",9620,"R",42.2644,-110.195
"5147","USC00485260","6279R",6279,"R",41.6378,-104.1669
"5148","USC00485345","11456R",11456,"R",44.5619,-110.3986
"5149","USC00485435","8767R",8767,"R",41.3408,-105.6069
"5150","USC00485506","7155S",7155,"S",44.85,-106.2889
"5151","USC00485770","7797S",7797,"S",44.8375,-108.4042
"5152","USC00485830","7835R",7835,"R",42.7506,-104.4811
"5153","USC00486120","8823R",8823,"R",41.8978,-106.2017
"5154","USC00486195","7371R",7371,"R",43.4131,-106.2772
"5155","USC00486428","10008R",10008,"R",43.6536,-110.7169
"5156","USC00486440","10403S",10403,"S",43.8567,-110.5889
"5157","USC00486555","8348R",8348,"R",41.2708,-110.3306
"5158","USC00486595","7601R",7601,"R",42.3628,-107.4444
"5159","USC00486660","7075S",7075,"S",43.8497,-104.1886
"5160","USC00486845","11230S",11230,"S",44.4569,-110.8328
"5161","USC00486852","7240R",7240,"R",42.2058,-104.5561
"5162","USC00487115","7716R",7716,"R",43.2458,-108.6942
"5163","USC00487200","7006S",7006,"S",41.6264,-104.4936
"5164","USC00487240","7247R",7247,"R",41.1722,-104.1583
"5165","USC00487260","10382S",10382,"S",42.8747,-109.8592
"5166","USC00487376","8001R",8001,"R",43.035,-106.9883
"5167","USC00487388","7887S",7887,"S",44.7764,-108.7592
"5168","USC00487548","8561R",8561,"R",44.9086,-105.7364
"5169","USC00487555","7207S",7207,"S",43.245,-104.2881
"5170","USC00487760","7909R",7909,"R",43.0308,-108.3742
"5171","USC00487810","8247R",8247,"R",43.6056,-104.9042
"5172","USC00487955","9790R",9790,"R",41.8667,-111
"5173","USC00487990","7967R",7967,"R",41.4528,-106.8053
"5174","USC00488070","7919R",7919,"R",42.1569,-106.9153
"5175","USC00488124","7623R",7623,"R",44.5478,-107.7633
"5176","USC00488160","7765S",7765,"S",44.8406,-106.8383
"5177","USC00488192","10898S",10898,"S",42.3667,-106.105
"5178","USC00488315","11178R",11178,"R",44.1333,-110.6658
"5179","USC00488385","10263R",10263,"R",42.4667,-108.8
"5180","USC00488705","7516R",7516,"R",44.4125,-104.3606
"5181","USC00488758","9480S",9480,"S",44.0761,-108.9547
"5182","USC00488808","7962R",7962,"R",41.7644,-105.375
"5183","USC00488852","6737S",6737,"S",44.0647,-107.3819
"5184","USC00488858","8545S",8545,"S",43.8111,-107.365
"5185","USC00488875","6411R",6411,"R",43.6483,-108.2036
